,SPY,GLD,IEF,IWD,QQQ,SHY,SMH,DATE,YEAR,YEAR_MONTH
2140,180.7169189453125,102.45999908447266,91.27420043945312,83.55319213867188,107.0162582397461,75.44120788574219,24.624549865722656,2015-11-25,2015,201511
2141,180.9241485595703,101.25,91.36873626708984,83.61119079589844,107.16624450683594,75.45904541015625,24.745832443237305,2015-11-27,2015,201511
2142,180.1729736328125,101.91999816894531,91.4030990600586,83.43724822998047,106.89434814453125,75.43228912353516,25.064756393432617,2015-11-30,2015,201511
2143,181.89108276367188,102.27999877929688,91.88916778564453,84.28206634521484,107.96315002441406,75.477783203125,25.361221313476562,2015-12-01,2015,201512
2144,180.03489685058594,100.69000244140625,91.63107299804688,83.21361541748047,107.29749298095703,75.41535186767578,25.262401580810547,2015-12-02,2015,201512
2145,177.5138702392578,101.76000213623047,90.66744995117188,82.07893371582031,105.47871398925781,75.41535186767578,25.09170913696289,2015-12-03,2015,201512
2146,180.97592163085938,104.0199966430664,91.00297546386719,83.41239929199219,107.94438171386719,75.4332046508789,25.513944625854492,2015-12-04,2015,201512
2147,179.87945556640625,102.66999816894531,91.29556274414062,82.67526245117188,107.45687103271484,75.42424011230469,25.302827835083008,2015-12-07,2015,201512
2148,178.6707305908203,102.83999633789062,91.34718322753906,81.76421356201172,107.46623992919922,75.41535186767578,25.07374382019043,2015-12-08,2015,201512
2149,177.2807159423828,102.63999938964844,91.48484802246094,81.4411849975586,105.83499908447266,75.44212341308594,24.808719635009766,2015-12-09,2015,201512
2150,177.7383575439453,102.55000305175781,91.28693389892578,81.59854888916016,106.31310272216797,75.39750671386719,24.8985538482666,2015-12-10,2015,201512
2151,174.29356384277344,103.11000061035156,92.01828002929688,80.02490234375,103.8662109375,75.48670959472656,24.417924880981445,2015-12-11,2015,201512
2152,175.1741943359375,101.79000091552734,91.33857727050781,80.2236557006836,104.65371704101562,75.39750671386719,24.233755111694336,2015-12-14,2015,201512
2153,177.01312255859375,101.5199966430664,91.10623931884766,81.47432708740234,105.29122924804688,75.38851928710938,24.61556625366211,2015-12-15,2015,201512
2154,179.60316467285156,102.75,90.86534118652344,82.51788330078125,106.85684204101562,75.32614135742188,24.808719635009766,2015-12-16,2015,201512
2155,176.8663787841797,100.5,91.24392700195312,81.25069427490234,105.30059051513672,75.32614135742188,24.476320266723633,2015-12-17,2015,201512
2156,173.7154541015625,102.04000091552734,91.57086181640625,79.81781768798828,103.28070068359375,75.42424011230469,24.13942527770996,2015-12-18,2015,201512
2157,175.14849853515625,103.1500015258789,91.61389923095703,80.43901062011719,104.42796325683594,75.41535186767578,24.562105178833008,2015-12-21,2015,201512
2158,176.73782348632812,102.61000061035156,91.3557357788086,81.25069427490234,105.11443328857422,75.39750671386719,24.66765785217285,2015-12-22,2015,201512
2159,178.92645263671875,102.30999755859375,91.1492691040039,82.56759643554688,105.89490509033203,75.37067413330078,24.800750732421875,2015-12-23,2015,201512
2160,178.63111877441406,103.05000305175781,91.31642150878906,82.39834594726562,105.8761215209961,75.40018463134766,24.86958885192871,2015-12-24,2015,201512
2161,178.2229766845703,102.2699966430664,91.33366394042969,82.03978729248047,105.81967163085938,75.35553741455078,24.80992889404297,2015-12-28,2015,201512
2162,180.12489318847656,102.19999694824219,90.85112762451172,82.84859466552734,107.4841537475586,75.33770751953125,25.08528709411621,2015-12-29,2015,201512
2163,178.8482208251953,101.41999816894531,90.88555908203125,82.22322082519531,106.51555633544922,75.35553741455078,24.84205436706543,2015-12-30,2015,201512
2164,177.05914306640625,101.45999908447266,90.98899841308594,81.59783935546875,105.18961334228516,75.31985473632812,24.45195770263672,2015-12-31,2015,201512
2165,174.58395385742188,102.88999938964844,91.37677764892578,80.64729309082031,102.9703598022461,75.41802978515625,24.194957733154297,2016-01-04,2016,201601
2166,174.87925720214844,103.18000030517578,91.35091400146484,80.80573272705078,102.79169464111328,75.3733901977539,23.97007942199707,2016-01-05,2016,201601
2167,172.6732940673828,104.66999816894531,91.90245819091797,79.5716552734375,101.80430603027344,75.41802978515625,23.350521087646484,2016-01-06,2016,201601
2168,168.53062438964844,106.1500015258789,92.10062408447266,77.69557189941406,98.61643981933594,75.44481658935547,22.62999725341797,2016-01-07,2016,201601
2169,166.68072509765625,105.68000030517578,92.33329772949219,76.69499969482422,97.8077621459961,75.49842834472656,22.27202606201172,2016-01-08,2016,201601
2170,166.845703125,104.73999786376953,92.04027557373047,76.6616439819336,98.10865783691406,75.52519989013672,22.473955154418945,2016-01-11,2016,201601
2171,168.1918487548828,104.20999908447266,92.45389556884766,77.10356140136719,99.24649810791016,75.53411865234375,22.66671371459961,2016-01-12,2016,201601
2172,163.99700927734375,104.72000122070312,92.81582641601562,75.46927642822266,95.82357788085938,75.5787353515625,22.001256942749023,2016-01-13,2016,201601
2173,166.68934631347656,103.0199966430664,92.62628936767578,76.6616439819336,97.86419677734375,75.59659576416016,22.5841007232666,2016-01-14,2016,201601
2174,163.11119079589844,104.08000183105469,93.05712127685547,74.96063232421875,94.82676696777344,75.65913391113281,21.432178497314453,2016-01-15,2016,201601
2175,163.32830810546875,103.9800033569336,92.9365005493164,74.77720642089844,95.03365325927734,75.65019989013672,21.574447631835938,2016-01-19,2016,201601
2176,161.23524475097656,105.37000274658203,93.3931655883789,73.55982971191406,94.74215698242188,75.7037582397461,21.629520416259766,2016-01-20,2016,201601
2177,162.13845825195312,105.48999786376953,93.16056060791016,73.94335174560547,94.836181640625,75.69478607177734,21.927827835083008,2016-01-21,2016,201601
2178,165.46481323242188,105.0,92.95374298095703,75.36919403076172,97.5820541381836,75.66802215576172,22.345455169677734,2016-01-22,2016,201601
2179,162.96353149414062,106.08000183105469,93.26393127441406,73.97672271728516,96.13387298583984,75.66802215576172,22.09304428100586,2016-01-25,2016,201601
2180,165.1868896484375,107.29000091552734,93.3328857421875,75.36919403076172,96.9990234375,75.7037582397461,22.281208038330078,2016-01-26,2016,201601
2181,163.38909912109375,107.69000244140625,93.40185546875,74.98564910888672,94.58229064941406,75.72156524658203,22.033382415771484,2016-01-27,2016,201601
