Date,StockID,MarketCap,next_month_ret,next_month_ret_0delay,Ret_5d,Ret_6-20d,Ret_6-60d
1993-01-29,10001,15120.0,0.01785685586715635,0.01785685586715635,3.240259998094075e-07,0.0357138009482898,0.06564089375974413
1993-01-29,10002,13699.0,0.1052629405818657,0.1052629405818657,0.0789477335357367,0.024389695838086034,0.07317153905219964
1993-01-29,10003,10421.5,-0.07894791718985761,-0.07894791718985761,-0.10526385417053308,0.02941195245474204,-0.17646934941225534
1993-01-29,10009,15054.0,-0.009615579595611323,-0.009615579595611323,-0.04845445767896772,0.04081662553808996,0.22449402723178924
1993-01-29,10010,95376.0,-0.05437415082862773,-0.05437415082862773,-0.02083338157906245,-0.01255216929965075,-0.21872392816371355
1993-01-29,10011,21833.625,-0.030303784504446707,-0.030303784504446707,-0.03030329196370185,-5.079327801693623e-07,-0.2343759952946215
1993-01-29,10012,14251.5,0.33333290057271947,0.33333290057271947,0.49999832234496844,-0.083332605621811,-0.08333214947247414
1993-01-29,10016,227230.5,0.17183939819493155,0.17183939819493155,0.2238809584487289,-0.06707244989493188,-0.116177165736148
1993-01-29,10018,16145.25,-0.15789485566353778,-0.15789485566353778,-0.05263200000000001,-0.1111108414718861,-0.16666585415541024
1993-01-29,10019,49476.0,-0.05263367932446483,-0.05263367932446483,0.02631474514870491,-0.11538598418908896,-0.3333342041721189
1993-01-29,10020,532722.75,0.04597778026231025,0.04597778026231025,0.04597786211613353,-0.010989077395836766,0.018542691113241583
1993-01-29,10021,676.875,0.0,0.0,0.0,0.0,0.26315753739225034
1993-01-29,10025,59437.0,-0.08163204383083089,-0.08163204383083089,-0.10204016318626896,0.02272720729676858,0.13636199453058717
1993-01-29,10026,94396.25,0.06756739808548895,0.06756739808548895,0.013512153092112733,0.05333457998353519,0.4000046976541529
1993-01-29,10028,7735.75,-0.09090844347220783,-0.09090844347220783,0.0,-0.11363573238540259,0.04545663527204802
1993-01-29,10032,112840.0,-0.04285728290440094,-0.04285728290440094,0.014285433631610056,-0.02816864793738838,-0.3239437435822543
1993-01-29,10035,164515.0,2.9556556513377075e-07,2.9556556513377075e-07,-0.03846155152399999,-1.7084961900781792e-07,-0.259999353745065
1993-01-29,10037,8907.5,0.171431003119914,0.171431003119914,0.028571632931974067,0.1111134746114506,0.07960824111442055
1993-01-29,10039,2966.0,0.6875014973624356,0.6875014973624356,0.687500299107088,-0.18518442141851366,0.03703976789762975
1993-01-29,10042,43534.4375,-0.06896484909952783,-0.06896484909952783,-0.1724144218966115,0.1250016621050396,0.3750009403310284
1993-01-29,10043,24221.25,-0.12221975364579807,-0.12221975364579807,-0.055554747107159796,-0.03529193627819449,-0.014067274714158362
1993-01-29,10044,8395.75,3.609179746177915e-07,3.609179746177915e-07,2.746400000752658e-07,8.6277950783753e-08,-0.06976937101310898
1993-01-29,10046,2116.125,-0.1111112817063189,-0.1111112817063189,1.2500000012849455e-07,-0.16666693076630779,-0.05555560023949191
1993-01-29,10047,2146.0,-3.177580699675886e-07,-3.177580699675886e-07,0.0,0.034482671284678634,-0.32758785832976356
1993-01-29,10048,164977.375,0.10253765803713044,0.10253765803713044,0.04225485239492688,0.030000747476923717,-0.15094574348372136
1993-01-29,10051,64157.625,-0.22222219121370723,-0.22222219121370723,-0.04761935228698411,-0.16666650019209872,-0.08333333948358679
1993-01-29,10055,16358.375,-0.27272669572638353,-0.27272669572638353,2.7972000049558687e-08,-0.2727267160696719,-0.3636366058677265
1993-01-29,10056,16815.0,0.1333315762166396,0.1333315762166396,0.06666627843124107,-1.6864262099014482e-06,-2.2714677540003336e-06
1993-01-29,10057,55046.25,-0.06081627552928037,-0.06081627552928037,0.01142800658193055,-0.07142800242931457,0.05714386360707335
1993-01-29,10059,68820.5,0.1320737251543116,0.1320737251543116,-0.0094345340313583,0.10476121899083668,0.8476139616696934
1993-01-29,10060,146039.5625,0.07216443268544315,0.07216443268544315,0.010309169740018831,0.061224093374646404,0.5510217868759981
1993-01-29,10062,100266.0,-0.14705722289033363,-0.14705722289033363,6.697479999484557e-07,-0.14705779414667008,-0.14705652650698975
1993-01-29,10063,15736.5,-0.38461526143057123,-0.38461526143057123,-0.07692274125874765,-0.16666680288414637,-0.6250003703475915
1993-01-29,10064,383247.0,-0.010311895902081258,-0.010311895902081258,-0.04123716560651669,0.053760367139923604,0.023429375670042774
1993-01-29,10065,654940.0,0.05610817154241343,0.05610817154241343,0.043749661755931424,0.01786296686519262,-0.00020703154725720818
1993-01-29,10071,347424.75,-0.027137006421833254,-0.027137006421833254,0.01610038937148861,-0.05319048893229894,-0.13297745295401153
1993-01-29,10074,35995.5,-0.03508723998725183,-0.03508723998725183,-0.05263202998400007,0.027778870228829522,0.4921604072531307
1993-01-29,10075,160304.625,0.13566481454138457,0.13566481454138457,0.04102589488281039,0.09090928489269512,-0.14049679060418208
1993-01-29,10077,4662.25,0.058824233343861554,0.058824233343861554,0.2647063256399058,-0.16279043452389919,-0.2325582300011254
1993-01-29,10078,4090359.0,-0.099360819843065,-0.099360819843065,-0.10256438340023077,-0.014287832773039022,-0.260715788897538
1993-01-29,10079,51016.0,-0.16071225547733137,-0.16071225547733137,0.0267860343709998,-0.12173734926750335,-0.2956516020730453
1993-01-29,10080,11285.0,0.15000015481579343,0.15000015481579343,0.10000072826096473,0.04545399404769013,-0.09091153359320381
1993-01-29,10082,21812.5,0.040000705792582636,0.040000705792582636,0.04999933377783816,0.047620118532293976,-0.10476071261646835
