,StockID,ending_date,up_prob,ret_val,MarketCap
0,0,2018-01-31,0.58498585,-0.06670404,0.0
1,0,2018-02-28,0.6091936,-0.04313458,0.0
2,0,2018-04-30,0.56507623,-0.055943817,0.0
3,0,2018-05-31,0.57672817,0.06606106,0.0
4,0,2018-07-31,0.70260024,0.023957558,0.0
5,0,2018-08-31,0.50464714,-0.040946838,0.0
6,0,2018-10-31,0.51944983,0.11719514,0.0
7,0,2018-11-30,0.34715176,-0.06873721,0.0
8,0,2018-12-31,0.52005947,0.128357,0.0
9,1,2018-01-31,0.44531685,-0.13456878,0.0
10,1,2018-02-28,0.46511728,0.13376486,0.0
11,1,2018-04-30,0.5036845,-0.06207469,0.0
12,1,2018-05-31,0.5808662,-0.099905826,0.0
13,1,2018-07-31,0.44609228,0.031863812,0.0
14,1,2018-08-31,0.5093456,-0.21505441,0.0
15,1,2018-10-31,0.4852093,-0.09176745,0.0
16,1,2018-11-30,0.46355575,-0.16319951,0.0
17,1,2018-12-31,0.44516754,0.11658135,0.0
18,10,2018-01-31,0.5489596,-0.09890583,0.0
19,10,2018-02-28,0.4216649,0.060092587,0.0
20,10,2018-04-30,0.61535555,0.0845059,0.0
21,10,2018-05-31,0.3844092,0.056016367,0.0
22,10,2018-07-31,0.66558135,0.027753543,0.0
23,10,2018-08-31,0.5520767,-0.028639207,0.0
24,10,2018-10-31,0.50116104,0.08630013,0.0
25,10,2018-11-30,0.5437764,-0.03457245,0.0
26,10,2018-12-31,0.5635972,0.06918257,0.0
27,100,2018-01-31,0.5502428,-0.14977406,0.0
28,100,2018-02-28,0.50969,0.061160557,0.0
29,100,2018-04-30,0.54537,0.028204799,0.0
30,100,2018-05-31,0.59183985,-0.021247974,0.0
31,100,2018-07-31,0.5382933,-0.18949528,0.0
32,100,2018-08-31,0.44287196,-0.08995642,0.0
33,100,2018-10-31,0.5923213,-0.19332479,0.0
34,100,2018-11-30,0.5244951,0.115803555,0.0
35,100,2018-12-31,0.56205887,0.23637845,0.0
36,1000,2018-01-31,0.6285119,-0.039850276,0.0
37,1000,2018-02-28,0.43612894,-0.017384283,0.0
38,1000,2018-04-30,0.5140275,0.05123325,0.0
39,1000,2018-05-31,0.5246649,-0.16000098,0.0
40,1000,2018-07-31,0.4650877,-0.030882902,0.0
41,1000,2018-08-31,0.4505852,-0.17133358,0.0
42,1000,2018-10-31,0.5116202,-0.049840648,0.0
43,1000,2018-11-30,0.60131335,-0.06651732,0.0
44,1000,2018-12-31,0.4919458,0.08232509,0.0
45,1001,2018-01-31,0.46091995,-0.0009336359,0.0
46,1001,2018-02-28,0.36444116,-0.2746858,0.0
47,1001,2018-04-30,0.46356553,0.160283,0.0
48,1001,2018-05-31,0.54371613,-0.29229322,0.0
49,1001,2018-07-31,0.4559017,0.064258665,0.0
50,1001,2018-08-31,0.43760547,-0.34172663,0.0
51,1001,2018-10-31,0.5012995,-0.26116365,0.0
52,1001,2018-11-30,0.46088034,0.005076906,0.0
53,1001,2018-12-31,0.5931822,0.08673904,0.0
54,1002,2018-01-31,0.60895604,-0.06393627,0.0
55,1002,2018-02-28,0.5235753,-0.032003835,0.0
56,1002,2018-04-30,0.49936503,-0.0098418305,0.0
57,1002,2018-05-31,0.62657666,-0.081868745,0.0
58,1002,2018-07-31,0.38301653,0.03799409,0.0
59,1002,2018-08-31,0.497857,-0.0893314,0.0
60,1002,2018-10-31,0.45576972,0.068982296,0.0
61,1002,2018-11-30,0.4633034,-0.17884597,0.0
62,1002,2018-12-31,0.6193365,0.16794786,0.0
63,1003,2018-01-31,0.33969498,0.004,0.0
64,1003,2018-02-28,0.4073575,0.002,0.0
65,1003,2018-04-30,0.41499192,0.004,0.0
66,1003,2018-05-31,0.39123514,0.05456,0.0
67,1003,2018-07-31,0.43132478,0.0,0.0
68,1003,2018-08-31,0.37845364,0.058,0.0
69,1003,2018-10-31,0.31367004,0.0,0.0
70,1003,2018-11-30,0.37112993,-0.036,0.0
71,1003,2018-12-31,0.39451084,0.0,0.0
72,1004,2018-01-31,0.6320766,-0.12612979,0.0
73,1004,2018-02-28,0.4823243,0.06311726,0.0
