,0,1,2,3,4,5,6,7,8,9,H-L
2015-03-31,-0.007508522727272727,-0.005826210826210827,-0.0068974358974358985,-0.007039772727272728,-0.004455840455840456,0.024754985754985755,-0.00775,-0.005692307692307692,-0.0059259259259259265,-0.005897727272727272,0.001610795454545455
2015-04-30,0.0013682719546742207,-0.0021133144475920687,0.00033522727272727306,-0.0032606232294617567,-0.0018437500000000003,-0.0037393767705382443,-0.0020426136363636362,-0.005000000000000001,-0.005386363636363637,-0.005280453257790368,-0.006648725212464589
2015-06-30,0.0031792717086834735,0.005140449438202247,0.007623595505617978,0.007941011235955055,0.0041092436974789915,0.006078651685393257,0.0036825842696629214,0.007941011235955055,0.00801685393258427,0.009285714285714286,0.006106442577030812
2015-07-31,0.009119444444444446,0.013122562674094708,0.011139275766016712,0.009130555555555557,0.00916991643454039,0.012832869080779944,0.008894444444444444,0.010852367688022285,0.007348189415041783,0.005644444444444445,-0.0034750000000000007
2015-08-31,-0.012454293628808864,-0.011444444444444445,-0.010433333333333334,-0.010792243767313019,-0.006558333333333334,-0.005475000000000001,-0.006141274238227147,-0.001575,-0.0036361111111111112,-0.00196398891966759,0.010490304709141274
2015-09-30,0.01029281767955801,0.019592797783933517,0.015678670360110804,0.01912465373961219,0.016421052631578947,0.01840720221606648,0.018637119113573408,0.019346260387811634,0.01973130193905817,0.01566850828729282,0.005375690607734809
2015-11-30,0.00175,0.006245179063360881,0.007228650137741047,0.00584297520661157,0.0069504132231404964,0.005063360881542699,0.004443526170798899,0.0074325068870523415,0.007192837465564739,0.004148351648351648,0.0023983516483516484
2015-12-31,-0.003213698630136986,-0.004336986301369862,-0.001616438356164384,-0.0007857142857142863,-0.00012876712328767164,-6.575342465753428e-05,-0.0027142857142857147,0.0014438356164383557,0.0017589041095890416,0.0006410958904109589,0.003854794520547945
2016-02-29,0.012357923497267758,0.015513661202185792,0.011456284153005463,0.012076502732240436,0.0159344262295082,0.017098360655737707,0.014396174863387977,0.012038251366120217,0.015663934426229507,0.016491803278688526,0.004133879781420768
2016-03-31,0.007136239782016349,0.0009618528610354219,-0.004855191256830602,-0.004512261580381471,-0.0055409836065573774,-0.0070463215258855585,-0.007505464480874318,-0.009585831062670299,-0.009874316939890711,-0.009561307901907358,-0.016697547683923706
2016-05-31,0.01972357723577236,0.020456521739130432,0.01992411924119241,0.021402173913043478,0.016986449864498647,0.017682065217391303,0.017165760869565214,0.01581029810298103,0.017769021739130433,0.018756097560975613,-0.0009674796747967465
2016-06-30,0.0025675675675675682,0.004518918918918919,0.003452574525745257,0.0024432432432432427,0.003467567567567568,0.004780487804878049,0.0005621621621621626,-0.000975609756097561,0.002408108108108109,0.004205405405405405,0.001637837837837837
2016-08-31,-0.005804289544235924,-0.010506702412868633,-0.009591397849462367,-0.008900804289544236,-0.008841397849462366,-0.009801608579088471,-0.009758064516129032,-0.011160857908847185,-0.009537634408602152,-0.00810455764075067,-0.0023002680965147453
2016-09-30,-0.002954545454545454,-0.005788770053475935,-0.003281501340482573,-0.0038743315508021382,-0.004206434316353888,-0.0035909090909090904,-0.00439142091152815,0.00027005347593582994,-0.0026702412868632713,4.545454545454549e-05,0.0029999999999999996
2016-10-31,0.0005360000000000007,-0.0017513368983957222,0.001176,-0.005938502673796792,-0.002156914893617021,-0.0005683646112600538,-0.002772727272727272,-0.0009013333333333336,-0.00203475935828877,-0.0027866666666666665,-0.0033226666666666673
2016-11-30,0.006055702917771882,0.00025,0.0015691489361702123,0.004023936170212766,0.0025957446808510636,0.0023643617021276596,0.0011196808510638293,0.0017101063829787233,0.0004441489361702122,-0.00015425531914893637,-0.006209958236920819
2017-01-31,0.009437994722955145,0.01334126984126984,0.01003957783641161,0.00973015873015873,0.011205804749340367,0.014412698412698412,0.014470899470899468,0.014733509234828496,0.012637566137566138,0.015395778364116096,0.00595778364116095
2017-02-28,0.011136842105263159,0.008271052631578948,0.005092105263157894,0.0036394736842105258,0.0053236842105263155,0.006005263157894737,0.006221052631578947,0.006684210526315789,0.006881578947368421,0.005928947368421053,-0.005207894736842106
2017-03-31,-0.0007801047120418852,-0.00022047244094488205,0.0008272251308900527,0.00027034120734908116,0.0012486910994764396,0.0015669291338582683,0.00046981627296587935,0.0037879581151832463,0.0007690288713910763,0.0023429319371727746,0.00312303664921466
2017-05-31,0.008229166666666666,0.010114583333333333,0.010161458333333335,0.011471354166666666,0.009703125,0.011953124999999998,0.011528645833333333,0.011184895833333333,0.010619791666666666,0.009429687499999999,0.001200520833333333
2017-06-30,-0.0008992248062015502,0.000782383419689119,-0.0004170984455958548,-0.002378238341968912,-0.0024637305699481866,-0.0009663212435233157,-0.00227720207253886,-0.001694300518134715,0.0014766839378238335,0.0010025906735751297,0.00190181547977668
2017-07-31,-0.0046606683804627244,0.002334190231362468,0.0034575835475578404,0.00015424164524421543,0.0005475578406169668,-0.0020282776349614395,0.00033933161953727506,0.0024395886889460156,0.0022622107969151664,5.6555269922879366e-05,0.0047172236503856034
2017-08-31,0.0031948717948717944,0.000758974358974359,0.0034179487179487175,0.0016153846153846162,0.0037846153846153845,0.0022410256410256408,0.0014256410256410254,0.0010487179487179486,0.0021435897435897436,0.002776923076923077,-0.0004179487179487174
2017-10-31,-0.0014492385786802025,-0.0038702290076335884,-0.005921119592875319,-0.0029949109414758274,0.0005903307888040713,0.0006183206106870228,-6.36132315521625e-05,0.0024529262086513993,0.006521628498727737,0.010659033078880407,0.01210827165756061
