Date,us500_UH,usbond10y_UH,kodex200,kbond10y,gold_H,nasdaq100_UH,usdkrw,kbond1y,kbond3y,gold_UH
2000-01-31,2675.435461765957,4348.093359499297,8052.378878628666,33550.179061200724,2364.034808275987,17190.856981977162,1123.5,60528.3724343272,49011.3880418768,10917.02304887307
2000-02-01,2709.010186305805,4377.304348363033,7923.718027448564,33643.519110533016,2368.989724294196,17872.77343791186,1126.5,60531.592881081815,48992.20164428232,10969.29067166935
2000-02-02,2721.039842078381,4398.496589506892,8050.735647237164,33618.35345090039,2364.3398265692595,18046.12754253283,1130.5,60546.20568669657,49009.7971945157,10986.808521390623
2000-02-03,2760.808106029721,4430.221543869583,8107.718304014801,33593.24491604507,2382.2394869395057,18651.77387627588,1130.0,60583.55203112014,49059.515502664464,11065.264354074308
2000-02-07,2743.1993995266,4384.495630160493,8304.900467908648,33475.802335975655,2643.810639436265,19036.29883432504,1129.2,60621.36668909559,49102.51347804273,12272.301931990589
2000-02-08,2780.6527471769286,4400.262297369396,8203.686396806046,33450.990596455085,2531.4316678733794,19663.57523419171,1129.25,60624.487559582274,49055.60321898897,11751.365217617942
2000-02-09,2708.3843849781565,4389.097734311411,8330.678618543541,33426.235212111795,2555.170110034995,19109.31967174325,1123.5,60633.33287801776,49045.65352060727,11801.350879569753
2000-02-10,2706.5306852202657,4346.710188319864,8246.866996781982,33401.53606096518,2598.9479755196708,19641.982275698345,1120.5,60659.270982678536,49067.897620431984,11971.67843795438
2000-02-11,2638.5490513199657,4339.312486166481,8136.671845952699,33376.89302139985,2642.7237725014807,18966.799966069742,1115.0,60690.88493828138,49067.16898352924,12113.760903864648
2000-02-14,2683.760001475979,4406.235208743971,7776.394884559781,33285.61781727315,2577.826846849149,19262.743514444857,1127.5,60782.775181370525,49144.72986228551,11949.329719561185
2000-02-15,2712.916024994357,4405.237490585741,7510.6875706707715,33261.21098021769,2563.1543057053377,19306.852250234388,1127.0,60791.38768802039,49203.73500129924,11876.23688671025
2000-02-16,2669.397036691485,4400.6031965949705,7509.367470206171,33236.85962263209,2508.824538850257,19285.68961941595,1125.5,60805.730106663614,49216.57221189603,11609.219153265023
2000-02-17,2661.491893068983,4404.572788155811,7663.6136436717725,33212.56362513074,2556.770598937288,19944.501782557018,1128.0,60802.93942948825,49206.36298935278,11857.547046059815
2000-02-18,2606.6616659996703,4435.863472563116,7507.068509754758,33188.322868684816,2523.315168685207,19189.754590417404,1129.0,60811.62305878673,49219.268291566026,11712.95356474954
2000-02-21,2614.7425480466127,4448.874328772464,7219.408059989718,33098.145848898064,2552.353075278437,19249.244529360243,1132.5,60840.62314771371,49241.31817585328,11885.037492583157
2000-02-22,2612.7059789272225,4496.424787245429,7259.920576225366,33074.13777401824,2549.3705598278,19299.673272354543,1134.5,60855.04385705872,49254.246136499416,11892.30305646468
